MODELO,MAPE_PROMEDIO_FOLDS_%,WAPE_PROMEDIO_FOLDS_%,BIAS_PROMEDIO_FOLDS_%
ETS,6.891850588720498,6.424769458676743,-0.5931050909837954
SeasonalNaive,7.516798616545746,6.639946906023786,-0.8938710065001376
SARIMA,7.4041014609665385,7.183943861608892,-1.6318999175354922
XGBoost,7.227435692511692,7.272147102216852,-0.14748217675363434
