FECHA_MES,REAL,SeasonalNaive,ETS,SARIMA,XGBoost
2026-01-01,424044.3395483871,438887.5020322581,435307.5937019271,412642.5958799303,445594.7482910156
2026-02-01,420552.26792857144,461002.10432142863,445181.6442504577,467352.9258299362,427974.48974609375
2026-03-01,385323.72058064514,375908.7023870968,406427.1145935749,371638.7317802366,372837.6862792969
2026-04-01,352644.39163333335,327427.4970000001,334006.65799590724,332085.59064104914,358299.37158203125
2026-05-01,391952.8528064517,353050.3595483871,367343.1951138464,365016.9409332833,382108.81982421875
2026-06-01,420914.09180000005,422838.1246666666,401889.4945488693,408149.73235539865,410701.4765625
